rating_id,body,rating
1,Great experience,5
2,Not so good,2
3,Amazing trip,4
4,Disappointing,1
5,Highly recommended,5
6,Terrible experience,1
7,Incredible journey,5
8,Mediocre at best,3
9,Unforgettable adventure,5
10,Wouldn't recommend,2
11,Perfect getaway,5
12,Average,3
13,Once-in-a-lifetime,5
14,Poor service,2
15,Exceeded expectations,5
16,Awful experience,1
17,Highly dissatisfied,1
18,Excellent trip,5
19,Waste of money,1
20,Fantastic journey,4
21,Not worth it,2
22,Outstanding adventure,5
23,Subpar,2
24,Exceptional experience,5
25,Horrible service,1
26,Top-notch journey,4
27,Just okay,3
28,Unbelievable adventure,5
29,Regrettable,2
30,Absolutely amazing,5
31,Very disappointing,2
32,Memorable experience,4
33,Poorly organized,2
34,Terrific trip,4
35,Overpriced,2
36,Incredible journey,5
37,Disappointing,2
38,Outstanding adventure,5
39,Not recommended,1
40,Perfect getaway,5
41,Unsatisfactory,2
42,Excellent experience,4
43,Huge letdown,1
44,Amazing adventure,5
45,Underwhelming,3
46,Once-in-a-lifetime,5
47,Less than expected,2
48,Superb trip,4
49,Complete waste of time,1
50,Wonderful experience,5
51,Exhilarating adventure,5
52,Horrible service,1
53,Highly recommended,5
54,Poor experience,2
55,Unforgettable journey,5
56,Disappointing,2
57,Exceptional trip,4
58,Absolutely terrible,1
59,Outstanding adventure,5
60,Mediocre at best,3
61,Incredible journey,5
62,Not worth it,2
63,Perfect getaway,5
64,Regrettable,2
65,Incredible experience,5
66,Less than expected,2
67,Terrible service,1
68,Fantastic adventure,4
69,Highly dissatisfied,1
70,Memorable journey,4
71,Waste of money,2
72,Amazing experience,5
73,Very disappointing,2
74,Superb trip,4
75,Unsatisfactory,2
76,Great adventure,5
77,Poorly organized,2
78,Excellent experience,4
79,Complete letdown,1
80,Awesome journey,5
81,Underwhelming,3
82,Once-in-a-lifetime,5
83,Not recommended,1
84,Unforgettable adventure,5
85,Exhilarating journey,5
86,Horrible experience,1
87,Highly recommended,5
88,Poor service,2
89,Unforgettable adventure,5
90,Disappointing,2
91,Exceptional trip,4
92,Absolutely terrible,1
93,Outstanding adventure,5
94,Mediocre at best,3
95,Incredible journey,5
96,Not worth it,2
97,Perfect getaway,5
98,Regrettable,2
99,Incredible experience,5
100,Less than expected,2
101,Terrible service,1
102,Fantastic adventure,4
103,Highly dissatisfied,1
104,Memorable journey,4
105,Waste of money,2
106,Amazing experience,5
107,Very disappointing,2
108,Superb trip,4
109,Unsatisfactory,2
110,Great adventure,5
111,Poorly organized,2
112,Excellent experience,4
113,Complete letdown,1
114,Awesome journey,5
115,Underwhelming,3
116,Once-in-a-lifetime,5
117,Not recommended,1
118,Unforgettable journey,5
119,Exhilarating adventure,5
120,Horrible service,1
121,Highly recommended,5
122,Poor experience,2
123,Unforgettable adventure,5
124,Disappointing,2
125,Exceptional trip,4
126,Absolutely terrible,1
127,Outstanding adventure,5
128,Mediocre at best,3
129,Incredible journey,5
130,Not worth it,2
131,Perfect getaway,5
132,Regrettable,2
133,Incredible experience,5
134,Less than expected,2
135,Terrible service,1
136,Fantastic adventure,4
137,Highly dissatisfied,1
138,Memorable journey,4
139,Waste of money,2
140,Amazing experience,5
141,Very disappointing,2
142,Superb trip,4
143,Unsatisfactory,2
144,Great adventure,5
145,Poorly organized,2
